Epoch : 1, Loss : 1.02637619972229
Epoch : 2, Loss : 0.9939691185951233
Epoch : 3, Loss : 0.9764219582080841
Epoch : 4, Loss : 0.9683589816093444
Epoch : 5, Loss : 0.9620170056819917
Epoch : 6, Loss : 0.9578959286212921
Epoch : 7, Loss : 0.9505869746208191
Epoch : 8, Loss : 0.9470166623592376
Epoch : 9, Loss : 0.9389921247959137
Epoch : 10, Loss : 0.933977210521698
Epoch : 11, Loss : 0.9258745491504669
Epoch : 12, Loss : 0.9211874663829803
Epoch : 13, Loss : 0.9156335413455962
Epoch : 14, Loss : 0.9093214392662049
Epoch : 15, Loss : 0.9063060879707338
Epoch : 16, Loss : 0.9074390053749085
Epoch : 17, Loss : 0.9046423316001891
Epoch : 18, Loss : 0.9032238364219665
Epoch : 19, Loss : 0.9030668437480925
Epoch : 20, Loss : 0.9031574010848998
Epoch : 21, Loss : 0.9029895544052123
Epoch : 22, Loss : 0.9024671494960784
Epoch : 23, Loss : 0.9000088274478912
Epoch : 24, Loss : 0.9001389086246491
Epoch : 25, Loss : 0.8991687774658204
Epoch : 26, Loss : 0.9003766775131224
Epoch : 27, Loss : 0.8989461600780487
Epoch : 28, Loss : 0.8994642674922942
Epoch : 29, Loss : 0.8975249886512757
Epoch : 30, Loss : 0.8985291182994842
Epoch : 31, Loss : 0.8986038148403167
Epoch : 32, Loss : 0.8988416135311127
Epoch : 33, Loss : 0.8989928245544435
Epoch : 34, Loss : 0.8971159160137177
Epoch : 35, Loss : 0.8976124584674835
Epoch : 36, Loss : 0.897427135705948
Epoch : 37, Loss : 0.8963629066944123
Epoch : 38, Loss : 0.8954999029636382
Epoch : 39, Loss : 0.8960674881935119
Epoch : 40, Loss : 0.8938224613666534
Epoch : 41, Loss : 0.894122290611267
Epoch : 42, Loss : 0.8931397557258606
Epoch : 43, Loss : 0.893047708272934
